"WALTITUD","LONG_DECI","LAT_DECI","titulo"
2429,-79.017806,-6.420165,"PAPA BLANCA"
2184,-78.115714,-7.616626,"PAPA BLANCA"
2331,-79.453531,-5.341713,"PAPA BLANCA"
2114,-78.89732,-6.696035,"PAPA BLANCA"
2023,-78.092267,-6.865493,"PAPA BLANCA"
2051,-78.897417,-6.337201,"PAPA BLANCA"
2352,-77.903517,-9.430847,"PAPA BLANCA"
2493,-76.44508,-12.090703,"PAPA BLANCA"
2461,-79.298408,-6.432577,"PAPA BLANCA"
2461,-79.298408,-6.432577,"PAPA BLANCA"
2267,-79.4794,-5.643253,"PAPA BLANCA"
2143,-78.79479,-6.612964,"PAPA BLANCA"
2493,-76.44508,-12.090703,"PAPA BLANCA"
2058,-78.926907,-6.388281,"PAPA BLANCA"
2493,-76.44508,-12.090703,"PAPA BLANCA"
2143,-78.79479,-6.612964,"PAPA BLANCA"
2293,-78.267037,-6.856438,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2295,-77.460902,-10.252731,"PAPA BLANCA"
2396,-79.545427,-5.651717,"PAPA BLANCA"
2394,-78.365832,-7.778878,"PAPA BLANCA"
2424,-78.652967,-6.532007,"PAPA BLANCA"
2476,-75.944717,-9.858092,"PAPA BLANCA"
2420,-79.268383,-5.697063,"PAPA BLANCA"
2169,-78.368549,-7.812383,"PAPA BLANCA"
2449,-77.891758,-6.482742,"PAPA BLANCA"
2001,-77.660662,-7.824828,"PAPA BLANCA"
2255,-79.904995,-4.959092,"PAPA BLANCA"
2317,-78.873304,-7.025128,"PAPA BLANCA"
2458,-77.749548,-9.143029,"PAPA BLANCA"
2449,-77.891758,-6.482742,"PAPA BLANCA"
2298,-78.78113,-6.66317,"PAPA BLANCA"
2440,-76.242235,-10.142151,"PAPA BLANCA"
2096,-78.888351,-6.390326,"PAPA BLANCA"
2364,-79.002897,-6.436588,"PAPA BLANCA"
2109,-79.552317,-5.643873,"PAPA BLANCA"
2384,-78.664226,-6.546763,"PAPA BLANCA"
2312,-78.910586,-6.644563,"PAPA BLANCA"
2367,-78.8897,-6.679661,"PAPA BLANCA"
2237,-78.904868,-6.667497,"PAPA BLANCA"
2494,-78.779505,-6.556827,"PAPA BLANCA"
2340,-75.85086,-12.831704,"PAPA BLANCA"
2472,-77.960118,-6.176624,"PAPA BLANCA"
2196,-79.406956,-5.193653,"PAPA BLANCA"
2465,-78.937654,-6.732918,"PAPA BLANCA"
2233,-74.759645,-11.783589,"PAPA BLANCA"
2388,-73.630803,-13.396967,"PAPA BLANCA"
2465,-78.937654,-6.732918,"PAPA BLANCA"
2180,-79.478029,-5.38626,"PAPA BLANCA"
2233,-74.759645,-11.783589,"PAPA BLANCA"
2242,-77.929179,-6.188224,"PAPA BLANCA"
2455,-79.580739,-5.15766,"PAPA BLANCA"
2478,-78.795921,-6.465167,"PAPA BLANCA"
2446,-78.897381,-6.279977,"PAPA BLANCA"
2023,-78.092267,-6.865493,"PAPA BLANCA"
2390,-78.461194,-6.485136,"PAPA BLANCA"
2399,-78.895112,-6.350625,"PAPA BLANCA"
2409,-72.495699,-15.691736,"PAPA BLANCA"
2110,-79.300016,-6.295723,"PAPA BLANCA"
2020,-78.941565,-6.606032,"PAPA BLANCA"
2317,-78.873304,-7.025128,"PAPA BLANCA"
2493,-78.060908,-8.377403,"PAPA BLANCA"
2202,-78.779596,-6.63789,"PAPA BLANCA"
2083,-78.72543,-6.170778,"PAPA BLANCA"
2296,-78.177005,-7.350283,"PAPA BLANCA"
2363,-74.657898,-12.099039,"PAPA BLANCA"
2384,-74.264661,-12.981194,"PAPA BLANCA"
2457,-77.749357,-9.14131,"PAPA BLANCA"
2487,-78.796291,-6.343438,"PAPA BLANCA"
2449,-77.891758,-6.482742,"PAPA BLANCA"
2337,-78.648291,-6.575588,"PAPA BLANCA"
2236,-78.448889,-6.342674,"PAPA BLANCA"
2230,-78.793003,-6.542457,"PAPA BLANCA"
2447,-71.485408,-16.466572,"PAPA BLANCA"
2359,-78.241834,-5.988672,"PAPA BLANCA"
2487,-78.440017,-7.824046,"PAPA BLANCA"
2119,-75.160927,-14.150382,"PAPA BLANCA"
2114,-78.89732,-6.696035,"PAPA BLANCA"
2362,-78.144237,-7.348691,"PAPA BLANCA"
2454,-71.492092,-16.47975,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2432,-78.875061,-6.412476,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2349,-78.818011,-6.637416,"PAPA BLANCA"
2375,-79.318738,-5.616522,"PAPA BLANCA"
2063,-78.143609,-7.516057,"PAPA BLANCA"
2387,-79.526498,-5.648006,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2301,-71.535594,-16.444389,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2318,-79.271735,-5.58819,"PAPA BLANCA"
2442,-78.683325,-6.400817,"PAPA BLANCA"
2204,-78.942218,-6.426202,"PAPA BLANCA"
2036,-78.171623,-7.487065,"PAPA BLANCA"
2427,-79.294678,-6.346527,"PAPA BLANCA"
2139,-79.376307,-6.267029,"PAPA BLANCA"
2408,-78.768318,-6.674726,"PAPA BLANCA"
2427,-79.294678,-6.346527,"PAPA BLANCA"
2139,-79.376307,-6.267029,"PAPA BLANCA"
2408,-78.768318,-6.674726,"PAPA BLANCA"
2348,-78.751307,-6.36875,"PAPA BLANCA"
2212,-78.731925,-6.259553,"PAPA BLANCA"
2464,-78.862009,-6.695008,"PAPA BLANCA"
2464,-78.648195,-6.454205,"PAPA BLANCA"
2246,-78.848963,-6.499238,"PAPA BLANCA"
2363,-78.694561,-6.558294,"PAPA BLANCA"
2084,-78.909429,-6.338996,"PAPA BLANCA"
2362,-78.780031,-6.617874,"PAPA BLANCA"
2362,-78.780031,-6.617874,"PAPA BLANCA"
2226,-77.12943,-10.969187,"PAPA BLANCA"
2418,-78.1688,-7.303831,"PAPA BLANCA"
